dataset,method,acc,loss,brier,ece
german,None,0.73,0.5254051089286804,0.1739280730217979,0.0350624111294746
german,var_bayes,0.7,0.565518856048584,0.1914705389149517,0.0997035226225852
german,sigmoid,0.73,0.5174614787101746,0.1723861212955523,0.0310222150368758
german,isotonic,0.73,0.5329821109771729,0.1809934685721847,0.0549654236715287
german,beta,0.73,0.5173680782318115,0.1721432796410795,0.0563209540173714
page-blocks,None,0.9771689497716894,0.0713759437203407,0.0194485792474525,0.0063524682772214
page-blocks,var_bayes,0.9771689497716894,0.0853769779205322,0.0212572457369376,0.0114065350803066
page-blocks,sigmoid,0.9771689497716894,0.0823723077774047,0.0193364851977329,0.0138471814243153
page-blocks,isotonic,0.9762557077625572,0.0912308767437934,0.0213149183019985,0.0131954875455735
page-blocks,beta,0.9762557077625572,0.072884127497673,0.019363593670769,0.0132917505891249
spambase,None,0.9315960912052116,0.2259072363376617,0.0563812988561105,0.0314710291666782
spambase,var_bayes,0.9229098805646035,0.2355233430862426,0.0650040136916081,0.0188647991027526
spambase,sigmoid,0.9337676438653636,0.2137899845838546,0.0574738273317763,0.0116505857396886
spambase,isotonic,0.9326818675352876,0.2127472758293151,0.0560406157022078,0.0129474032593534
spambase,beta,0.9294245385450596,0.211673229932785,0.0570033190918153,0.0196849726337778
credit-approval,None,0.816793893129771,0.4913835525512695,0.1393549521130959,0.0749835517570262
credit-approval,var_bayes,0.816793893129771,0.4576181769371032,0.1464375914688397,0.0815226466131849
credit-approval,sigmoid,0.8244274809160306,0.4375112950801849,0.1350016663026076,0.051709544574466
credit-approval,isotonic,0.816793893129771,0.8976780772209167,0.1377128151057364,0.0727669284998915
credit-approval,beta,0.8091603053435115,0.5228631496429443,0.137923186769856,0.0667542073463507
segment,None,0.8571428571428571,0.4101166129112243,0.1224491152392947,0.0003682891011754
segment,var_bayes,0.9935064935064936,0.0120525164529681,0.0035921042930854,0.0075206146284908
segment,sigmoid,0.8571428571428571,0.4101199507713318,0.1224499112692034,0.0009652343584531
segment,isotonic,0.8571428571428571,0.4101199507713318,0.1224499112919329,0.0009652461324419
segment,beta,0.8571428571428571,0.4101199507713318,0.1224499112995018,0.0009652500531271
waveform-5000,None,0.898,0.239014595746994,0.0758777595013824,0.0224323145747184
waveform-5000,var_bayes,0.894,0.2383208125829696,0.0761035455702319,0.0174485175785342
waveform-5000,sigmoid,0.897,0.265519380569458,0.0780302268629755,0.0201194534786379
waveform-5000,isotonic,0.888,0.2406713366508484,0.0776396457639103,0.0216084815454669
waveform-5000,beta,0.895,0.2347347140312194,0.0744381131768449,0.0193557975627826
wdbc,None,0.9824561403508772,0.0804061070084571,0.0178371024763729,0.035482375768193
wdbc,var_bayes,0.9736842105263158,0.0709941908717155,0.017995426851656,0.0123202163203243
wdbc,sigmoid,0.9824561403508772,0.1762333810329437,0.0177551721598735,0.0199843634875041
wdbc,isotonic,0.9824561403508772,0.1560105085372924,0.015708720711971,0.0158468626047435
wdbc,beta,0.9824561403508772,0.1648975759744644,0.0171313105055388,0.0181336565281153
balance-scale,None,0.984,0.0980676189064979,0.0201821560718274,0.0612692131996154
